RK,team_id,GP,PTS/G,OPP PTS,PLAYS,YDS,YDS/PLAY,1ST DWN,PENALTY,P YDS,TOP,+/- TOV,YEAR,PHASE,CATEGORY
30,CLE,16,23.9,382,1066,5753,5.4,335,80,581,31:12:00,-2,2007,REG,defense
31,BUF,16,22.1,354,1047,5807,5.5,322,73,567,31:09:00,9,2007,REG,defense
32,DET,16,27.8,444,1087,6042,5.6,363,113,897,33:40:00,-1,2007,REG,defense
1,DAL,1,21.0,21,44,230,5.2,16,3,28,23:30,-1,2007,POST,defense
2,PIT,1,31.0,31,54,239,4.4,14,6,40,27:01:00,-2,2007,POST,defense
3,TB,1,24.0,24,58,277,4.8,16,5,41,33:31:00,-3,2007,POST,defense
4,WAS,1,35.0,35,54,304,5.6,14,3,30,25:45:00,0,2007,POST,defense
5,TEN,1,17.0,17,63,350,5.6,17,5,53,32:19:00,-1,2007,POST,defense
6,IND,1,28.0,28,53,411,7.8,20,10,79,29:39:00,-2,2007,POST,defense
7,GB,2,21.5,43,134,577,4.3,39,10,78,33:00:00,-2,2007,POST,defense
8,SEA,2,28.0,56,141,727,5.2,46,10,86,34:08:00,1,2007,POST,defense
9,JAX,2,30.0,60,132,743,5.6,48,11,124,33:50:00,0,2007,POST,defense
10,NE,3,16.3,49,179,999,5.6,56,10,83,28:08:00,1,2007,POST,defense
11,LAC,3,17.0,51,194,1041,5.4,69,13,111,30:27:00,4,2007,POST,defense
12,NYG,4,16.2,65,251,1145,4.6,78,27,181,29:46:00,5,2007,POST,defense
1,PIT,16,13.9,223,974,3795,3.9,240,91,801,29:42:00,4,2008,REG,defense
2,BAL,16,15.2,244,928,4177,4.5,228,114,792,27:00:00,13,2008,REG,defense
3,PHI,16,18.1,289,994,4389,4.4,248,80,593,30:32:00,3,2008,REG,defense
4,WAS,16,18.5,296,933,4621,5.0,259,80,639,28:29:00,0,2008,REG,defense
5,NYG,16,18.4,294,931,4672,5.0,268,111,866,27:24:00,9,2008,REG,defense
6,MIN,16,20.8,333,946,4679,4.9,255,109,1002,29:41:00,-6,2008,REG,defense
7,TEN,16,14.6,234,1022,4698,4.6,276,93,750,31:02:00,14,2008,REG,defense
8,DAL,16,22.8,365,969,4709,4.9,276,87,601,30:02:00,-11,2008,REG,defense
9,TB,16,20.2,323,945,4898,5.2,259,88,660,29:24:00,4,2008,REG,defense
10,NE,16,19.3,309,920,4944,5.4,268,81,636,28:04:00,1,2008,REG,defense
11,IND,16,18.6,298,983,4975,5.1,305,68,543,31:21:00,9,2008,REG,defense
12,CIN,16,22.8,364,1013,5208,5.1,296,102,772,32:02:00,-2,2008,REG,defense
13,SF,16,23.8,381,1027,5216,5.1,293,111,869,31:47:00,-17,2008,REG,defense
14,BUF,16,21.4,342,971,5217,5.4,293,72,540,30:56:00,-8,2008,REG,defense
15,MIA,16,19.8,317,979,5264,5.4,296,86,615,29:57:00,17,2008,REG,defense
16,NYJ,16,22.2,356,1020,5270,5.2,315,93,663,30:10:00,-1,2008,REG,defense
17,JAX,16,22.9,367,922,5295,5.7,289,80,691,29:44:00,-7,2008,REG,defense
18,CAR,16,20.6,329,1026,5299,5.2,296,88,736,31:51:00,6,2008,REG,defense
19,ARI,16,26.6,426,993,5304,5.3,312,98,816,30:53:00,0,2008,REG,defense
20,GB,16,23.8,380,1003,5349,5.3,295,89,721,29:56:00,7,2008,REG,defense
21,CHI,16,21.9,350,1087,5355,4.9,314,100,827,32:27:00,5,2008,REG,defense
22,HOU,16,24.6,394,935,5385,5.8,300,81,659,28:09:00,-10,2008,REG,defense
23,NO,16,24.6,393,999,5432,5.4,299,84,637,30:42:00,-4,2008,REG,defense
24,ATL,16,20.3,325,998,5572,5.6,309,109,854,30:31:00,-3,2008,REG,defense
25,LAC,16,21.7,347,1041,5599,5.4,339,78,708,31:07:00,4,2008,REG,defense
26,CLE,16,21.9,350,1004,5704,5.7,315,95,770,32:27:00,5,2008,REG,defense
27,LVR,16,24.2,388,1045,5775,5.5,325,74,633,32:16:00,1,2008,REG,defense
28,LAR,16,29.1,465,975,5950,6.1,320,89,654,30:28:00,-5,2008,REG,defense
29,DEN,16,28.0,448,990,5993,6.1,327,83,738,31:16:00,-17,2008,REG,defense
30,SEA,16,24.5,392,1058,6048,5.7,324,81,671,34:40:00,-7,2008,REG,defense
31,KC,16,27.5,440,1041,6291,6.0,344,81,588,32:13:00,5,2008,REG,defense
32,DET,16,32.3,517,1009,6470,6.4,350,91,753,33:01:00,-9,2008,REG,defense
1,TEN,1,13.0,13,52,211,4.1,9,8,40,25:53:00,-3,2008,POST,defense
2,NYG,1,23.0,23,68,276,4.1,20,8,61,29:45:00,-1,2008,POST,defense
3,MIA,1,27.0,27,56,286,5.1,16,7,59,26:34:00,-4,2008,POST,defense
4,MIN,1,26.0,26,60,350,5.8,15,7,55,27:54:00,0,2008,POST,defense
5,IND,1,23.0,23,73,357,4.9,26,3,40,37:09:00,2,2008,POST,defense
6,ATL,1,30.0,30,60,357,6.0,15,6,47,30:02:00,-2,2008,POST,defense
7,CAR,1,33.0,33,76,360,4.7,21,5,65,39:49:00,-5,2008,POST,defense
8,LAC,2,26.0,52,135,708,5.2,39,16,118,33:50:00,-4,2008,POST,defense
9,PIT,3,20.3,61,165,895,5.4,51,25,263,26:47:00,6,2008,POST,defense
10,BAL,3,14.0,42,198,942,4.8,50,22,190,34:34:00,4,2008,POST,defense
11,PHI,3,19.0,57,190,977,5.1,53,13,89,31:46:00,-1,2008,POST,defense
12,ARI,4,22.2,89,243,1265,5.2,78,26,212,28:18:00,8,2008,POST,defense
1,NYJ,16,14.8,236,953,4037,4.2,237,87,680,29:39:00,1,2009,REG,defense
2,GB,16,18.6,297,948,4551,4.8,272,107,914,27:57:00,24,2009,REG,defense
3,BAL,16,16.3,261,991,4808,4.9,280,88,741,31:58:00,10,2009,REG,defense
4,CIN,16,18.2,291,980,4822,4.9,276,99,767,28:27:00,0,2009,REG,defense
5,PIT,16,20.2,324,967,4885,5.1,274,102,903,28:21:00,-3,2009,REG,defense
6,MIN,16,19.5,312,940,4888,5.2,271,109,902,28:30:00,6,2009,REG,defense
7,DEN,16,20.2,324,1007,5040,5.0,290,78,726,30:06:00,7,2009,REG,defense
8,CAR,16,19.2,308,976,5053,5.2,290,82,632,30:47:00,6,2009,REG,defense
9,DAL,16,15.6,250,979,5054,5.2,286,93,768,28:08:00,2,2009,REG,defense
10,WAS,16,21.0,336,1000,5115,5.1,280,98,763,31:24:00,-11,2009,REG,defense
11,NE,16,17.8,285,941,5123,5.4,289,91,780,27:13:00,6,2009,REG,defense
12,PHI,16,21.1,337,1037,5137,5.0,295,104,789,32:46:00,15,2009,REG,defense
13,HOU,16,20.8,333,974,5198,5.3,300,92,728,28:06:00,-1,2009,REG,defense
14,NYG,16,26.7,427,953,5198,5.5,308,88,678,29:33:00,-7,2009,REG,defense
15,SF,16,17.6,281,1050,5222,5.0,278,114,969,30:14:00,9,2009,REG,defense
16,LAC,16,20.0,320,991,5232,5.3,309,103,795,30:02:00,8,2009,REG,defense
17,CHI,16,23.4,375,1033,5404,5.2,312,88,744,32:45:00,-6,2009,REG,defense
18,IND,16,19.2,307,1084,5427,5.0,320,92,889,32:20:00,2,2009,REG,defense
19,BUF,16,20.4,326,1086,5449,5.0,310,107,919,33:34:00,3,2009,REG,defense
20,ARI,16,20.3,325,1038,5543,5.3,289,104,840,30:08:00,-7,2009,REG,defense
21,ATL,16,20.3,325,997,5582,5.6,303,110,892,30:21:00,3,2009,REG,defense
22,MIA,16,24.4,390,968,5589,5.8,297,73,589,28:13:00,-8,2009,REG,defense
23,JAX,16,23.8,380,982,5637,5.7,307,64,498,30:06:00,2,2009,REG,defense
24,SEA,16,24.4,390,1024,5703,5.6,305,111,971,32:29:00,-8,2009,REG,defense
25,NO,16,21.3,341,1044,5724,5.5,310,86,717,29:14:00,11,2009,REG,defense
26,LVR,16,23.7,379,1023,5791,5.7,314,86,684,32:42:00,-13,2009,REG,defense
27,TB,16,25.0,400,1039,5849,5.6,324,80,731,32:42:00,-5,2009,REG,defense
28,TEN,16,25.1,402,1038,5850,5.6,323,94,724,32:49:00,-4,2009,REG,defense
29,LAR,16,27.2,436,1016,5965,5.9,333,80,613,31:16:00,-13,2009,REG,defense
30,KC,16,26.5,424,1062,6211,5.8,318,106,821,33:49:00,1,2009,REG,defense
31,CLE,16,23.4,375,1072,6229,5.8,336,101,812,32:02:00,-12,2009,REG,defense
32,DET,16,30.9,494,1029,6274,6.1,332,113,944,31:03:00,-18,2009,REG,defense
1,LAC,1,17.0,17,63,262,4.2,14,5,37,31:31:00,-1,2009,POST,defense
2,NE,1,33.0,33,62,268,4.3,16,3,15,32:21:00,-2,2009,POST,defense
3,CIN,1,24.0,24,56,353,6.3,15,9,76,33:02:00,-2,2009,POST,defense
4,PHI,1,34.0,34,72,426,5.9,27,14,112,39:34:00,-3,2009,POST,defense
5,BAL,2,17.0,34,134,471,3.5,37,9,66,31:48:00,-1,2009,POST,defense
6,MIN,2,17.0,34,121,505,4.2,31,11,98,29:15:00,-1,2009,POST,defense
7,GB,1,51.0,51,57,531,9.3,30,9,56,31:27:00,-2,2009,POST,defense
8,DAL,2,24.0,48,116,663,5.7,33,17,166,25:56:00,0,2009,POST,defense
9,ARI,2,45.0,90,133,911,6.8,59,14,120,33:09:00,0,2009,POST,defense
10,IND,3,17.0,51,173,990,5.7,49,16,129,28:16:00,2,2009,POST,defense
11,NYJ,3,19.3,58,186,1086,5.8,63,17,147,29:57:00,3,2009,POST,defense
12,NO,3,19.7,59,198,1266,6.4,69,13,99,30:04:00,7,2009,POST,defense
1,LAC,16,20.1,322,939,4344,4.6,247,97,769,27:57:00,-6,2010,REG,defense
2,PIT,16,14.5,232,974,4429,4.5,272,86,716,29:34:00,16,2010,REG,defense
3,NYJ,16,19.0,304,979,4664,4.8,272,74,679,28:26:00,9,2010,REG,defense
4,NO,16,19.2,307,948,4900,5.2,273,88,701,29:44:00,-6,2010,REG,defense
5,GB,16,15.0,240,969,4945,5.1,270,98,758,29:47:00,10,2010,REG,defense
6,MIA,16,20.8,333,988,4949,5.0,264,85,730,29:29:00,-11,2010,REG,defense
7,NYG,16,21.7,347,974,4972,5.1,263,107,899,27:28:00,-3,2010,REG,defense
8,MIN,16,21.8,348,977,5002,5.1,276,98,786,30:55:00,-11,2010,REG,defense
9,CHI,16,17.9,286,1002,5029,5.0,282,93,790,30:29:00,4,2010,REG,defense
10,BAL,16,16.9,270,1007,5102,5.1,284,117,984,30:56:00,7,2010,REG,defense
11,LVR,16,23.2,371,991,5163,5.2,292,117,1161,29:58:00,-2,2010,REG,defense
12,PHI,16,23.6,377,999,5235,5.2,308,87,724,29:45:00,9,2010,REG,defense
13,SF,16,21.6,346,1033,5243,5.1,299,97,839,32:33:00,-1,2010,REG,defense
14,KC,16,20.4,326,1028,5283,5.1,293,111,922,30:14:00,9,2010,REG,defense
15,CIN,16,24.7,395,957,5312,5.6,290,95,776,29:46:00,-8,2010,REG,defense
16,ATL,16,18.0,288,957,5319,5.6,284,116,1003,28:12:00,14,2010,REG,defense
17,TB,16,19.9,318,991,5323,5.4,307,79,676,30:30:00,9,2010,REG,defense
18,CAR,16,25.5,408,1060,5374,5.1,328,90,760,33:36:00,-8,2010,REG,defense
19,LAR,16,20.5,328,1017,5388,5.3,304,126,1008,29:19:00,5,2010,REG,defense
20,IND,16,24.2,388,1010,5465,5.4,314,95,812,31:32:00,-4,2010,REG,defense
21,DET,16,23.1,369,1005,5499,5.5,320,106,854,31:40:00,4,2010,REG,defense
22,CLE,16,20.8,332,1041,5601,5.4,317,85,741,33:34:00,-1,2010,REG,defense
23,DAL,16,27.2,436,977,5628,5.8,309,79,641,29:02:00,0,2010,REG,defense
24,BUF,16,26.6,425,1071,5786,5.4,335,85,634,33:24:00,-17,2010,REG,defense
25,NE,16,19.6,313,1056,5864,5.6,348,84,687,31:25:00,28,2010,REG,defense
26,TEN,16,21.2,339,1139,5883,5.2,356,114,1039,34:24:00,-4,2010,REG,defense
27,SEA,16,25.4,407,1074,5897,5.5,313,91,709,32:27:00,-9,2010,REG,defense
28,JAX,16,26.2,419,948,5949,6.3,316,85,748,28:22:00,-15,2010,REG,defense
29,ARI,16,27.1,434,1092,5977,5.5,339,108,894,34:57:00,-5,2010,REG,defense
30,HOU,16,26.7,427,1010,6031,6.0,352,105,851,31:22:00,0,2010,REG,defense
31,WAS,16,23.6,377,1051,6228,5.9,326,104,839,33:54:00,-4,2010,REG,defense
32,DEN,16,29.4,471,1056,6253,5.9,334,98,922,32:51:00,-9,2010,REG,defense
1,PHI,1,21.0,21,61,309,5.1,20,2,15,32:00:00,1,2010,POST,defense
2,NE,1,28.0,28,54,314,5.8,14,3,35,25:04:00,-1,2010,POST,defense
3,IND,1,17.0,17,70,353,5.0,23,3,15,33:07:00,1,2010,POST,defense
4,KC,1,30.0,30,78,390,5.0,26,2,20,41:44:00,-3,2010,POST,defense
5,NO,1,41.0,41,61,415,6.8,19,6,39,27:59:00,0,2010,POST,defense
6,BAL,2,19.0,38,109,424,3.9,29,14,133,26:22:00,2,2010,POST,defense
7,ATL,1,48.0,48,69,442,6.4,28,6,65,38:19:00,-3,2010,POST,defense
8,CHI,2,22.5,45,123,632,5.1,41,9,60,28:27:00,-2,2010,POST,defense
9,PIT,3,24.7,74,165,753,4.6,44,19,191,26:49:00,-3,2010,POST,defense
10,SEA,2,35.5,71,160,911,5.7,53,15,110,35:36:00,1,2010,POST,defense
11,NYJ,3,20.3,61,196,971,5.0,65,12,79,32:10:00,1,2010,POST,defense
12,GB,4,19.0,76,236,1234,5.2,69,29,226,27:16:00,6,2010,POST,defense
1,PIT,16,14.2,227,964,4348,4.5,264,96,770,27:27:00,-13,2011,REG,defense
2,HOU,16,17.4,278,960,4571,4.8,270,88,686,27:20:00,7,2011,REG,defense
3,BAL,16,16.6,266,1002,4622,4.6,269,103,1032,29:25:00,2,2011,REG,defense
4,SF,16,14.3,229,974,4933,5.1,267,98,867,28:03:00,28,2011,REG,defense
5,NYJ,16,22.7,363,993,4993,5.0,272,110,966,29:11:00,-3,2011,REG,defense
6,JAX,16,20.6,329,979,5008,5.1,268,105,895,30:58:00,5,2011,REG,defense
7,CIN,16,20.2,323,1009,5060,5.0,284,101,878,30:41:00,0,2011,REG,defense
8,PHI,16,20.5,328,982,5198,5.3,289,97,813,29:40:00,-14,2011,REG,defense
9,SEA,16,19.7,315,1049,5315,5.1,310,96,907,32:11:00,8,2011,REG,defense
10,CLE,16,19.2,307,1035,5318,5.1,301,90,726,31:00:00,1,2011,REG,defense
11,KC,16,21.1,338,991,5333,5.4,291,108,832,31:13:00,-2,2011,REG,defense
12,ATL,16,21.9,350,965,5338,5.5,292,101,843,28:07:00,8,2011,REG,defense
13,WAS,16,22.9,367,988,5437,5.5,295,123,1006,30:09:00,-14,2011,REG,defense
14,DAL,16,21.7,347,972,5488,5.6,305,85,650,30:33:00,4,2011,REG,defense
15,MIA,16,19.6,313,1043,5522,5.3,310,112,975,30:51:00,-6,2011,REG,defense
16,LAC,16,23.6,377,958,5547,5.8,311,92,760,29:04:00,-7,2011,REG,defense
17,CHI,16,21.3,341,1048,5607,5.4,291,98,719,30:59:00,2,2011,REG,defense
18,TEN,16,19.8,317,1080,5675,5.3,324,99,812,32:06:00,1,2011,REG,defense
19,ARI,16,21.8,348,1095,5682,5.2,333,122,950,32:26:00,-13,2011,REG,defense
20,LAR,16,25.4,407,1031,5712,5.5,313,111,951,32:56:00,-5,2011,REG,defense
21,DEN,16,24.4,390,1063,5725,5.4,315,99,845,32:04:00,-12,2011,REG,defense
22,MIN,16,28.1,449,1027,5731,5.6,332,97,834,31:25:00,-3,2011,REG,defense
23,DET,16,24.2,387,1055,5881,5.6,325,119,982,30:58:00,11,2011,REG,defense
24,NO,16,21.2,339,1010,5895,5.8,326,109,912,28:26:00,-3,2011,REG,defense
25,IND,16,26.9,430,1062,5935,5.6,343,84,804,34:47:00,-12,2011,REG,defense
26,BUF,16,27.1,434,1003,5946,5.9,340,84,866,30:49:00,1,2011,REG,defense
27,NYG,16,25.0,400,1072,6022,5.6,338,111,956,30:30:00,7,2011,REG,defense
28,CAR,16,26.8,429,972,6042,6.2,328,98,901,30:44:00,1,2011,REG,defense
29,LVR,16,27.1,433,1069,6201,5.8,369,120,982,30:13:00,-4,2011,REG,defense
30,TB,16,30.9,494,1002,6311,6.3,356,95,786,31:59:00,-16,2011,REG,defense
31,GB,16,22.4,359,1049,6583,6.3,358,122,948,30:31:00,24,2011,REG,defense
32,NE,16,21.4,342,1064,6584,6.2,370,115,907,31:13:00,17,2011,REG,defense
1,CIN,1,31.0,31,57,340,6.0,19,5,87,29:43:00,-3,2011,POST,defense
2,GB,1,37.0,37,61,420,6.9,19,3,30,29:35:00,-3,2011,POST,defense
3,ATL,1,24.0,24,64,442,6.9,19,7,73,34:34:00,0,2011,POST,defense
4,PIT,1,29.0,29,55,447,8.1,18,5,30,29:05:00,0,2011,POST,defense
5,HOU,2,15.0,30,128,527,4.1,32,3,25,31:48:00,-1,2011,POST,defense
6,DET,1,45.0,45,81,626,7.7,34,3,18,37:36:00,0,2011,POST,defense
7,BAL,2,18.0,36,131,645,4.9,41,4,25,28:34:00,6,2011,POST,defense
8,NO,2,32.0,64,121,819,6.8,39,10,97,26:32:00,-4,2011,POST,defense
9,SF,2,26.0,52,170,824,4.8,46,9,60,35:28:00,2,2011,POST,defense
10,DEN,2,34.0,68,132,909,6.9,52,8,81,29:52:00,1,2011,POST,defense
11,NE,3,17.0,51,212,1046,4.9,60,15,112,35:40:00,-4,2011,POST,defense
12,NYG,4,14.0,56,256,1312,5.1,75,17,113,27:46:00,6,2011,POST,defense
1,PIT,16,19.6,314,951,4413,4.6,273,100,882,28:57:00,-10,2012,REG,defense
2,DEN,16,18.1,289,1015,4652,4.6,287,123,951,29:44:00,-1,2012,REG,defense
3,SF,16,17.1,273,1012,4710,4.7,284,93,758,30:05:00,9,2012,REG,defense
4,SEA,16,15.3,245,968,4899,5.1,295,102,902,29:38:00,13,2012,REG,defense
5,CHI,16,17.3,277,1021,5050,4.9,286,78,704,29:40:00,20,2012,REG,defense
6,CIN,16,20.0,320,1034,5115,4.9,307,90,779,30:34:00,4,2012,REG,defense
7,HOU,16,20.7,331,1015,5172,5.1,292,90,863,28:50:00,12,2012,REG,defense
8,NYJ,16,23.4,375,1019,5174,5.1,293,109,805,31:36:00,-14,2012,REG,defense
9,LAC,16,21.9,350,1012,5223,5.2,316,102,798,29:15:00,2,2012,REG,defense
10,CAR,16,22.7,363,1010,5329,5.3,325,86,711,30:25:00,1,2012,REG,defense
11,GB,16,21.0,336,1033,5388,5.2,308,123,1055,30:34:00,7,2012,REG,defense
12,ARI,16,22.3,357,1041,5405,5.2,288,100,810,31:19:00,-1,2012,REG,defense
13,DET,16,27.3,437,998,5458,5.5,305,93,789,29:29:00,-16,2012,REG,defense
14,LAR,16,21.8,348,1041,5482,5.3,327,90,758,32:04:00,-1,2012,REG,defense
15,PHI,16,27.8,444,994,5491,5.5,317,118,996,31:31:00,-24,2012,REG,defense
16,MIN,16,21.8,348,1083,5600,5.2,345,111,949,32:34:00,-1,2012,REG,defense
17,BAL,16,21.5,344,1086,5615,5.2,326,107,929,32:25:00,9,2012,REG,defense
18,LVR,16,27.7,443,995,5672,5.7,304,101,925,31:38:00,-7,2012,REG,defense
19,DAL,16,25.0,400,986,5687,5.8,317,89,726,30:54:00,-13,2012,REG,defense
20,KC,16,26.6,425,973,5704,5.9,301,81,670,30:16:00,-24,2012,REG,defense
21,MIA,16,19.8,317,1073,5708,5.3,320,121,1045,32:58:00,-10,2012,REG,defense
22,BUF,16,27.2,435,1042,5806,5.6,349,80,693,30:03:00,-13,2012,REG,defense
23,CLE,16,23.0,368,1095,5821,5.3,345,120,1008,32:19:00,3,2012,REG,defense
24,ATL,16,18.7,299,991,5849,5.9,298,83,641,29:08:00,13,2012,REG,defense
25,NE,16,20.7,331,1046,5972,5.7,340,101,932,30:33:00,25,2012,REG,defense
26,IND,16,24.2,387,995,5988,6.0,325,128,1208,30:33:00,-12,2012,REG,defense
27,TEN,16,29.4,471,1086,5999,5.5,358,86,717,33:09:00,-4,2012,REG,defense
28,WAS,16,24.2,388,1031,6043,5.9,340,100,811,29:01:00,17,2012,REG,defense
29,TB,16,24.6,394,1031,6078,5.9,329,103,851,30:57:00,3,2012,REG,defense
30,JAX,16,27.8,444,1100,6088,5.5,364,101,820,33:12:00,-3,2012,REG,defense
31,NYG,16,21.5,344,1016,6134,6.0,317,102,900,31:50:00,14,2012,REG,defense
32,NO,16,28.4,454,1089,7042,6.5,380,102,835,32:50:00,2,2012,REG,defense
1,MIN,1,24.0,24,67,326,4.9,20,2,10,32:58:00,-3,2012,POST,defense
2,WAS,1,24.0,24,68,380,5.6,22,4,30,34:20:00,-1,2012,POST,defense
3,CIN,1,19.0,19,77,420,5.5,24,7,55,38:49:00,0,2012,POST,defense
4,IND,1,24.0,24,56,439,7.8,18,9,70,22:28,0,2012,POST,defense
5,DEN,1,38.0,38,74,479,6.5,21,8,56,36:36:00,-2,2012,POST,defense
6,SEA,2,22.0,44,115,620,5.4,39,6,26,28:26:00,1,2012,POST,defense
7,HOU,2,27.0,54,113,655,5.8,36,10,107,25:54:00,-1,2012,POST,defense
8,NE,2,28.0,56,146,781,5.3,50,8,80,31:15:00,-2,2012,POST,defense
9,ATL,2,28.0,56,117,864,7.4,49,10,59,28:22:00,-1,2012,POST,defense
10,GB,2,27.5,55,137,903,6.6,46,12,116,33:32:00,2,2012,POST,defense
11,SF,3,29.7,89,192,1196,6.2,68,9,76,29:49:00,1,2012,POST,defense
12,BAL,4,22.0,88,316,1713,5.4,106,24,197,34:32:00,6,2012,POST,defense
1,SEA,16,14.4,231,990,4378,4.4,282,98,879,31:37:00,20,2013,REG,defense
2,CAR,16,15.1,241,975,4820,4.9,278,84,753,28:06:00,11,2013,REG,defense
3,CIN,16,19.1,305,1042,4888,4.7,282,69,692,29:48:00,1,2013,REG,defense
4,NO,16,19.0,304,943,4891,5.2,274,91,750,27:19:00,0,2013,REG,defense
5,SF,16,17.0,272,1020,5071,5.0,284,96,878,29:26:00,12,2013,REG,defense
6,ARI,16,20.2,324,1042,5079,4.9,309,111,960,29:18:00,-1,2013,REG,defense
7,HOU,16,26.8,428,970,5081,5.2,282,102,809,30:30:00,-20,2013,REG,defense
8,NYG,16,23.9,383,1089,5318,4.9,327,105,904,31:12:00,-15,2013,REG,defense
9,CLE,16,25.4,406,1107,5319,4.8,328,95,745,31:19:00,-8,2013,REG,defense
10,BUF,16,24.2,388,1089,5334,4.9,308,108,931,32:59:00,3,2013,REG,defense
11,NYJ,16,24.2,387,1048,5359,5.1,293,92,833,30:24:00,-14,2013,REG,defense
12,BAL,16,22.0,352,1032,5368,5.2,284,126,1196,31:39:00,-5,2013,REG,defense
13,PIT,16,23.1,370,1036,5395,5.2,303,92,800,29:07:00,-4,2013,REG,defense
14,TEN,16,23.8,381,1027,5408,5.3,329,95,779,30:18:00,0,2013,REG,defense
15,LAR,16,22.8,364,1014,5520,5.4,337,105,978,31:55:00,8,2013,REG,defense
16,DET,16,23.5,376,982,5546,5.6,290,87,681,28:06:00,-12,2013,REG,defense
17,TB,16,24.3,389,1020,5568,5.5,324,105,1012,31:49:00,10,2013,REG,defense
18,WAS,16,29.9,478,993,5665,5.7,329,83,697,29:29:00,-8,2013,REG,defense
19,DEN,16,24.9,399,1074,5696,5.3,339,97,807,30:18:00,0,2013,REG,defense
20,IND,16,21.0,336,1026,5713,5.6,319,112,990,30:19:00,13,2013,REG,defense
21,MIA,16,20.9,335,1106,5750,5.2,327,95,748,32:49:00,-2,2013,REG,defense
22,LVR,16,28.3,453,1029,5819,5.7,330,87,686,30:06:00,-9,2013,REG,defense
23,LAC,16,21.8,348,959,5864,6.1,327,100,850,28:31:00,-4,2013,REG,defense
24,KC,16,19.1,305,1067,5885,5.5,303,112,852,30:38:00,18,2013,REG,defense
25,GB,16,26.8,428,1015,5956,5.9,330,99,883,30:03:00,-3,2013,REG,defense
26,NE,16,21.1,338,1118,5969,5.3,338,110,951,31:05:00,9,2013,REG,defense
27,JAX,16,28.1,449,1090,6069,5.6,353,87,729,33:38:00,-6,2013,REG,defense
28,ATL,16,27.7,443,1003,6070,6.1,326,104,885,30:51:00,-7,2013,REG,defense
29,PHI,16,23.9,382,1150,6304,5.5,368,106,855,34:36:00,12,2013,REG,defense
30,CHI,16,29.9,478,1021,6313,6.2,353,69,647,30:12:00,5,2013,REG,defense
31,MIN,16,30.0,480,1132,6365,5.6,368,100,1003,33:18:00,-12,2013,REG,defense
32,DAL,16,27.0,432,1094,6645,6.1,388,112,875,31:58:00,8,2013,REG,defense
1,CAR,1,23.0,23,65,315,4.8,21,5,40,29:55:00,-2,2013,POST,defense
2,CIN,1,27.0,27,57,318,5.6,16,5,28,29:28:00,-4,2013,POST,defense
3,GB,1,23.0,23,63,381,6.0,22,2,10,29:06:00,1,2013,POST,defense
4,PHI,1,26.0,26,68,434,6.4,26,7,85,34:53:00,2,2013,POST,defense
5,NO,2,23.5,47,113,533,4.7,30,10,90,27:18:00,-3,2013,POST,defense
6,KC,1,45.0,45,65,536,8.2,28,4,19,22:27,3,2013,POST,defense
7,LAC,2,17.0,34,149,802,5.4,53,10,88,33:00:00,6,2013,POST,defense
8,NE,2,24.0,48,136,893,6.6,43,8,76,30:22:00,4,2013,POST,defense
9,SF,3,17.7,53,173,914,5.3,50,19,159,31:49:00,-1,2013,POST,defense
10,DEN,3,25.3,76,160,920,5.8,49,20,182,27:54:00,-6,2013,POST,defense
11,IND,2,43.5,87,153,932,6.1,53,6,50,36:16:00,-7,2013,POST,defense
12,SEA,3,13.3,40,188,1018,5.4,59,20,178,29:03:00,7,2013,POST,defense
1,SEA,16,15.9,254,925,4274,4.6,277,70,613,28:59:00,10,2014,REG,defense
2,DET,16,17.6,282,984,4815,4.9,310,99,849,28:19:00,7,2014,REG,defense
3,DEN,16,22.1,354,1032,4883,4.7,311,103,816,30:36:00,5,2014,REG,defense
4,BUF,16,18.1,289,1027,4988,4.9,302,104,849,31:35:00,7,2014,REG,defense
5,SF,16,21.2,340,989,5143,5.2,308,122,909,29:11:00,7,2014,REG,defense
6,NYJ,16,25.1,401,976,5235,5.4,300,91,781,29:16:00,-11,2014,REG,defense
7,KC,16,17.6,281,1024,5288,5.2,310,107,851,30:00:00,-3,2014,REG,defense
8,BAL,16,18.9,302,1034,5381,5.2,311,110,1007,30:20:00,2,2014,REG,defense
9,LAC,16,21.8,348,988,5412,5.5,307,129,1058,29:20:00,-5,2014,REG,defense
10,CAR,16,23.4,374,999,5437,5.4,309,97,761,29:40:00,3,2014,REG,defense
11,IND,16,23.1,369,1008,5483,5.4,309,101,866,28:06:00,-5,2014,REG,defense
12,MIA,16,23.3,373,1029,5494,5.3,309,105,920,30:52:00,2,2014,REG,defense
13,NE,16,19.6,313,1033,5506,5.3,329,92,752,30:23:00,12,2014,REG,defense
14,MIN,16,21.4,343,1026,5515,5.4,321,112,938,31:26:00,-1,2014,REG,defense
15,GB,16,21.8,348,1054,5541,5.3,339,104,945,29:28:00,14,2014,REG,defense
16,HOU,16,19.2,307,1077,5571,5.2,329,99,785,29:21:00,12,2014,REG,defense
17,LAR,16,22.1,354,1004,5617,5.6,301,105,882,31:47:00,-2,2014,REG,defense
18,PIT,16,23.0,368,945,5654,6.0,314,97,835,28:36:00,0,2014,REG,defense
19,DAL,16,22.0,352,978,5678,5.8,315,104,863,28:02:00,6,2014,REG,defense
20,WAS,16,27.4,438,978,5707,5.8,307,144,1164,30:39:00,-12,2014,REG,defense
