RK,team_id,GP,PTS/G,PTS,PLAYS,YDS,YDS/PLAY,1ST DWN,PENALTY,P YDS,TOP,+/- TOV,YEAR,PHASE,CATEGORY
26,MIA,16,20.2,323,945,4461,4.7,251,116,931,31:56:00,15,2000,REG,offense
27,DET,16,19.2,307,1004,4422,4.4,264,105,767,30:10:00,11,2000,REG,offense
28,LAC,16,16.8,269,982,4300,4.4,251,121,1036,28:22:00,-28,2000,REG,offense
29,CIN,16,11.6,185,1001,4244,4.2,254,99,878,27:13:00,-14,2000,REG,offense
30,ATL,16,15.8,252,926,3994,4.3,256,97,720,30:30:00,-9,2000,REG,offense
31,CLE,16,10.1,161,859,3548,4.1,177,103,925,26:17:00,-3,2000,REG,offense
1,NYG,3,22.7,68,204,907,4.4,57,14,81,35:48:00,-2,2000,POST,offense
2,BAL,4,23.8,95,226,900,4.0,44,30,245,30:10:00,10,2000,POST,offense
3,NO,2,23.5,47,130,656,5.0,36,12,80,30:40:00,1,2000,POST,offense
4,MIA,2,11.5,23,140,638,4.6,36,15,110,33:08:00,-6,2000,POST,offense
5,MIN,2,17.0,34,104,543,5.2,27,10,121,25:54:00,-1,2000,POST,offense
6,PHI,2,15.5,31,129,463,3.6,31,8,70,29:22:00,0,2000,POST,offense
7,LVR,2,15.0,30,124,458,3.7,32,11,76,31:23:00,0,2000,POST,offense
8,LAR,1,28.0,28,58,384,6.6,17,9,60,28:29:00,-3,2000,POST,offense
9,TEN,1,10.0,10,81,317,3.9,23,6,55,40:29:00,-1,2000,POST,offense
10,IND,1,17.0,17,55,293,5.3,14,1,10,27:46:00,3,2000,POST,offense
11,TB,1,3.0,3,54,199,3.7,11,7,62,25:07:00,0,2000,POST,offense
12,DEN,1,3.0,3,61,177,2.9,9,6,33,27:37:00,-1,2000,POST,offense
1,LAR,16,31.4,503,1007,6690,6.6,357,107,847,32:01:00,-10,2001,REG,offense
2,IND,16,25.8,413,1025,5955,5.8,343,76,730,31:32:00,-13,2001,REG,offense
3,PIT,16,22.0,352,1065,5887,5.5,314,86,737,35:44:00,7,2001,REG,offense
4,SF,16,25.6,409,1041,5689,5.5,328,82,669,32:24:00,15,2001,REG,offense
5,KC,16,20.0,320,1015,5673,5.6,324,68,602,29:24:00,-7,2001,REG,offense
6,GB,16,24.4,390,942,5463,5.8,282,80,633,30:32:00,12,2001,REG,offense
7,LVR,16,24.9,399,1030,5361,5.2,316,107,897,31:11:00,-1,2001,REG,offense
8,TEN,16,21.0,336,1026,5352,5.2,288,119,1025,32:34:00,-4,2001,REG,offense
9,NYG,16,18.4,294,1028,5335,5.2,295,97,905,30:57:00,-1,2001,REG,offense
10,NO,16,20.8,333,1031,5226,5.1,294,119,1025,29:24:00,-5,2001,REG,offense
11,LAC,16,20.8,332,1010,5200,5.1,290,97,777,31:34:00,2,2001,REG,offense
12,MIN,16,18.1,290,978,5185,5.3,288,109,836,29:11:00,-21,2001,REG,offense
13,BUF,16,16.6,265,1009,5137,5.1,287,123,954,29:11:00,-14,2001,REG,offense
14,BAL,16,18.9,303,1080,5124,4.7,299,89,728,30:39:00,-8,2001,REG,offense
15,ATL,16,18.2,291,988,5070,5.1,280,90,754,32:44:00,2,2001,REG,offense
16,DET,16,16.9,270,1026,4994,4.9,289,116,1081,29:34:00,-16,2001,REG,offense
17,PHI,16,21.4,343,974,4923,5.1,256,100,768,29:53:00,9,2001,REG,offense
18,ARI,16,18.4,295,955,4898,5.1,277,72,620,28:58:00,-3,2001,REG,offense
19,NE,16,23.2,371,1001,4882,4.9,292,92,802,31:07:00,7,2001,REG,offense
20,JAX,16,18.4,294,969,4840,5.0,289,97,710,28:01:00,-3,2001,REG,offense
21,MIA,16,21.5,344,953,4821,5.1,263,107,914,30:04:00,-10,2001,REG,offense
22,DEN,16,21.2,340,1034,4817,4.7,304,95,917,32:41:00,10,2001,REG,offense
23,CIN,16,14.1,226,1071,4800,4.5,294,103,870,30:46:00,-9,2001,REG,offense
24,NYJ,16,19.2,308,928,4795,5.2,274,63,507,29:13:00,18,2001,REG,offense
25,SEA,16,18.8,301,980,4772,4.9,274,66,579,30:03:00,6,2001,REG,offense
26,TB,16,20.2,324,1046,4694,4.5,298,77,672,32:56:00,17,2001,REG,offense
27,CHI,16,21.1,338,1020,4694,4.6,277,64,622,31:41:00,13,2001,REG,offense
28,WAS,16,16.0,256,960,4435,4.6,241,104,828,30:19:00,6,2001,REG,offense
29,DAL,16,15.4,246,952,4402,4.6,247,91,744,30:26:00,-9,2001,REG,offense
30,CAR,16,15.8,253,965,4254,4.4,236,87,747,28:41:00,1,2001,REG,offense
31,CLE,16,17.8,285,934,4152,4.4,238,94,825,29:31:00,9,2001,REG,offense
1,LAR,3,30.3,91,190,1090,5.7,61,16,107,32:13:00,6,2001,POST,offense
2,PHI,3,29.3,88,185,926,5.0,52,15,134,30:20:00,4,2001,POST,offense
3,NE,3,20.0,60,206,891,4.3,52,18,133,32:30:00,6,2001,POST,offense
4,GB,2,21.0,42,126,751,6.0,40,6,45,32:37:00,-6,2001,POST,offense
5,LVR,2,25.5,51,123,732,6.0,37,9,96,30:52:00,3,2001,POST,offense
6,PIT,2,22.0,44,140,603,4.3,44,8,75,35:55:00,-1,2001,POST,offense
7,BAL,2,15.0,30,120,497,4.1,27,14,100,29:34:00,-1,2001,POST,offense
8,NYJ,1,24.0,24,64,410,6.4,23,0,0,28:40:00,-2,2001,POST,offense
9,SF,1,15.0,15,55,290,5.3,19,3,30,29:08:00,-1,2001,POST,offense
10,TB,1,9.0,9,61,258,4.2,16,4,28,29:37:00,-3,2001,POST,offense
11,CHI,1,19.0,19,47,184,3.9,10,1,5,23:53,-3,2001,POST,offense
12,MIA,1,3.0,3,46,151,3.3,9,6,36,22:06,-2,2001,POST,offense
1,LVR,16,28.1,450,1069,6237,5.8,366,129,1094,32:46:00,12,2002,REG,offense
2,MIN,16,24.4,390,1080,6192,5.7,350,137,1139,32:55:00,-18,2002,REG,offense
3,DEN,16,24.5,392,1057,6090,5.8,357,104,877,31:08:00,-5,2002,REG,offense
4,KC,16,29.2,467,965,6000,6.2,343,75,700,29:11:00,16,2002,REG,offense
5,PIT,16,24.4,390,1097,5952,5.4,343,90,712,34:32:00,0,2002,REG,offense
6,NYG,16,20.0,320,1059,5826,5.5,323,113,955,32:46:00,-2,2002,REG,offense
7,SEA,16,22.2,355,1050,5818,5.5,347,100,792,30:32:00,2,2002,REG,offense
8,SF,16,22.9,367,1082,5701,5.3,343,87,725,33:39:00,10,2002,REG,offense
9,IND,16,21.8,349,1048,5616,5.4,324,91,730,31:02:00,-5,2002,REG,offense
10,PHI,16,25.9,415,1073,5604,5.2,311,111,897,31:20:00,14,2002,REG,offense
11,BUF,16,23.7,379,1054,5591,5.3,355,112,1031,31:20:00,-12,2002,REG,offense
12,GB,16,24.9,398,1058,5560,5.3,318,108,913,32:10:00,17,2002,REG,offense
13,LAR,16,19.8,316,1024,5559,5.4,315,120,919,31:38:00,-19,2002,REG,offense
14,ATL,16,25.1,402,1038,5535,5.3,317,105,931,33:18:00,12,2002,REG,offense
15,MIA,16,23.6,378,1010,5392,5.3,318,103,859,31:28:00,0,2002,REG,offense
16,LAC,16,20.8,333,1028,5325,5.2,313,100,805,31:05:00,3,2002,REG,offense
17,TEN,16,22.9,367,1032,5272,5.1,312,112,876,33:06:00,4,2002,REG,offense
18,CIN,16,17.4,279,1054,5206,4.9,315,99,884,29:54:00,-15,2002,REG,offense
19,NO,16,27.0,432,1001,5205,5.2,291,119,911,29:06:00,8,2002,REG,offense
20,WAS,16,19.2,307,1039,5143,4.9,303,116,972,30:36:00,-14,2002,REG,offense
21,NE,16,23.8,381,1031,5085,4.9,303,108,895,29:23:00,5,2002,REG,offense
22,NYJ,16,22.4,359,917,5036,5.5,300,79,685,29:53:00,4,2002,REG,offense
23,CLE,16,21.5,344,993,5027,5.1,279,107,845,30:06:00,-2,2002,REG,offense
24,TB,16,21.6,346,1022,5002,4.9,287,103,789,32:07:00,17,2002,REG,offense
25,JAX,16,20.5,328,959,4851,5.1,275,89,685,29:39:00,12,2002,REG,offense
26,BAL,16,19.8,316,947,4639,4.9,261,101,846,28:47:00,-1,2002,REG,offense
27,ARI,16,16.4,262,1003,4563,4.5,274,76,617,29:10:00,-10,2002,REG,offense
28,DET,16,19.1,306,955,4471,4.7,242,104,916,26:08:00,-7,2002,REG,offense
29,CHI,16,17.6,281,969,4395,4.5,260,95,864,28:04:00,-7,2002,REG,offense
30,DAL,16,13.6,217,948,4375,4.6,237,105,974,28:25:00,-4,2002,REG,offense
31,CAR,16,16.1,258,960,4280,4.5,238,94,785,29:20:00,-7,2002,REG,offense
32,HOU,16,13.3,213,947,3572,3.8,208,136,1011,28:06:00,-8,2002,REG,offense
1,LVR,3,30.7,92,180,1043,5.8,56,29,248,27:42:00,0,2002,POST,offense
2,TB,3,35.3,106,212,1002,4.7,60,18,157,35:58:00,9,2002,POST,offense
3,PIT,2,33.5,67,134,756,5.6,51,10,76,26:50:00,1,2002,POST,offense
4,TEN,2,29.0,58,150,742,4.9,57,15,152,36:34:00,-4,2002,POST,offense
5,NYJ,2,25.5,51,144,683,4.7,46,8,60,35:41:00,0,2002,POST,offense
6,SF,2,22.5,45,123,674,5.5,37,8,91,24:18:00,-4,2002,POST,offense
7,ATL,2,16.5,33,135,663,4.9,40,12,115,33:18:00,3,2002,POST,offense
8,PHI,2,15.0,30,130,630,4.8,35,8,75,29:17:00,0,2002,POST,offense
9,CLE,1,33.0,33,73,447,6.1,21,9,75,33:02:00,2,2002,POST,offense
10,NYG,1,38.0,38,75,446,5.9,26,5,50,34:39:00,1,2002,POST,offense
11,GB,1,7.0,7,63,289,4.6,17,3,15,23:56,-5,2002,POST,offense
12,IND,1,0.0,0,46,176,3.8,10,2,10,19:42,-3,2002,POST,offense
1,MIN,16,26.0,416,1055,6294,6.0,337,127,1029,33:52:00,11,2003,REG,offense
2,KC,16,30.2,484,1003,5910,5.9,348,79,698,30:35:00,19,2003,REG,offense
3,IND,16,27.9,447,1041,5874,5.6,348,92,662,31:27:00,10,2003,REG,offense
4,GB,16,27.6,442,999,5798,5.8,315,88,699,31:04:00,0,2003,REG,offense
5,SF,16,24.0,384,1038,5687,5.5,313,104,807,31:09:00,12,2003,REG,offense
6,SEA,16,25.2,404,1017,5627,5.5,338,91,777,29:48:00,-1,2003,REG,offense
7,DEN,16,23.8,381,1047,5598,5.3,334,107,922,34:04:00,-4,2003,REG,offense
8,TEN,16,27.2,435,1013,5501,5.4,310,110,887,33:52:00,13,2003,REG,offense
9,LAR,16,27.9,447,1054,5457,5.2,335,92,667,32:06:00,7,2003,REG,offense
10,TB,16,18.8,301,1036,5453,5.3,307,117,1104,32:20:00,2,2003,REG,offense
11,NO,16,21.2,340,1019,5438,5.3,302,103,878,31:35:00,-1,2003,REG,offense
12,JAX,16,17.2,276,1024,5358,5.2,305,108,893,30:09:00,-4,2003,REG,offense
13,CIN,16,21.6,346,1038,5329,5.1,313,107,846,31:59:00,2,2003,REG,offense
14,LAC,16,19.6,313,971,5167,5.3,290,126,1016,28:09:00,-11,2003,REG,offense
15,DAL,16,18.1,289,1062,5161,4.9,286,98,837,33:53:00,-4,2003,REG,offense
16,CAR,16,20.3,325,1008,5141,5.1,284,116,966,31:11:00,-5,2003,REG,offense
17,NE,16,21.8,348,1042,5039,4.8,294,111,998,32:35:00,17,2003,REG,offense
18,PHI,16,23.4,374,944,5035,5.3,302,96,817,28:19:00,4,2003,REG,offense
19,NYJ,16,17.7,283,936,4951,5.3,274,69,550,28:27:00,0,2003,REG,offense
20,NYG,16,15.2,243,1047,4942,4.7,300,127,1090,29:53:00,-16,2003,REG,offense
21,BAL,16,24.4,391,1009,4929,4.9,259,126,970,31:48:00,3,2003,REG,offense
22,PIT,16,18.8,300,1020,4792,4.7,275,111,1005,31:49:00,-3,2003,REG,offense
23,WAS,16,17.9,287,991,4659,4.7,272,124,1038,29:52:00,2,2003,REG,offense
24,MIA,16,19.4,311,968,4609,4.8,266,103,913,30:17:00,2,2003,REG,offense
25,LVR,16,16.9,270,987,4573,4.6,258,134,1120,28:08:00,-1,2003,REG,offense
26,CLE,16,15.9,254,961,4504,4.7,276,99,767,30:31:00,-11,2003,REG,offense
27,ARI,16,14.1,225,981,4490,4.6,256,98,761,30:58:00,-13,2003,REG,offense
28,CHI,16,17.7,283,1001,4380,4.4,264,92,806,30:39:00,-9,2003,REG,offense
29,ATL,16,18.7,299,930,4357,4.7,252,90,790,28:47:00,0,2003,REG,offense
30,BUF,16,15.2,243,980,4348,4.4,268,106,891,30:47:00,-16,2003,REG,offense
31,HOU,16,15.9,255,896,4306,4.8,237,121,961,28:03:00,-5,2003,REG,offense
32,DET,16,16.9,270,975,4262,4.4,250,107,859,28:21:00,0,2003,REG,offense
1,CAR,4,25.2,101,242,1508,6.2,71,30,200,32:40:00,8,2003,POST,offense
2,IND,3,31.0,93,193,1219,6.3,71,10,65,28:27:00,0,2003,POST,offense
3,NE,3,24.3,73,220,1127,5.1,67,13,89,33:05:00,3,2003,POST,offense
4,GB,2,25.0,50,136,778,5.7,38,11,75,34:40:00,1,2003,POST,offense
5,PHI,2,11.5,23,139,652,4.7,37,7,59,31:08:00,-4,2003,POST,offense
6,TEN,2,17.0,34,118,608,5.2,32,15,110,34:33:00,-1,2003,POST,offense
7,KC,1,31.0,31,60,408,6.8,24,4,30,27:47:00,-1,2003,POST,offense
8,LAR,1,23.0,23,71,380,5.4,23,5,33,34:04:00,-2,2003,POST,offense
9,SEA,1,27.0,27,68,340,5.0,22,2,15,29:26:00,-1,2003,POST,offense
10,DEN,1,10.0,10,58,322,5.6,20,5,55,34:38:00,-2,2003,POST,offense
11,BAL,1,17.0,17,55,255,4.6,12,8,70,24:52:00,1,2003,POST,offense
12,DAL,1,10.0,10,57,204,3.6,10,2,11,25:37:00,-2,2003,POST,offense
1,KC,16,30.2,483,1089,6695,6.1,398,117,963,32:14:00,-6,2004,REG,offense
2,IND,16,32.6,522,968,6475,6.7,379,105,801,29:45:00,19,2004,REG,offense
3,GB,16,26.5,424,1053,6357,6.0,354,116,950,30:28:00,-14,2004,REG,offense
4,MIN,16,25.3,405,985,6339,6.4,351,117,884,30:17:00,1,2004,REG,offense
5,DEN,16,23.8,381,1070,6332,5.9,351,93,880,33:37:00,-9,2004,REG,offense
6,LAR,16,19.9,319,1011,5877,5.8,321,127,993,32:48:00,-24,2004,REG,offense
7,NE,16,27.3,437,1035,5722,5.5,344,101,822,31:22:00,9,2004,REG,offense
8,SEA,16,23.2,371,1034,5634,5.4,320,79,669,29:06:00,8,2004,REG,offense
9,PHI,16,24.1,386,960,5618,5.9,301,124,952,29:43:00,6,2004,REG,offense
10,LAC,16,27.9,446,996,5542,5.6,328,108,875,32:35:00,15,2004,REG,offense
11,TEN,16,21.5,344,1053,5487,5.2,308,110,911,32:46:00,-1,2004,REG,offense
12,NYJ,16,20.8,333,996,5438,5.5,313,91,693,32:29:00,17,2004,REG,offense
13,CAR,16,22.2,355,991,5225,5.3,308,123,1020,30:00:00,12,2004,REG,offense
14,DAL,16,18.3,293,1004,5197,5.2,296,105,867,31:37:00,-15,2004,REG,offense
15,NO,16,21.8,348,989,5193,5.3,291,129,1141,28:30:00,7,2004,REG,offense
16,PIT,16,23.2,372,1012,5184,5.1,309,99,835,34:59:00,11,2004,REG,offense
17,LVR,16,20.0,320,939,5153,5.5,275,134,1013,27:47:00,-17,2004,REG,offense
18,CIN,16,23.4,374,1004,5140,5.1,286,103,810,29:20:00,4,2004,REG,offense
19,HOU,16,19.3,309,1001,5128,5.1,300,107,928,30:13:00,5,2004,REG,offense
20,ATL,16,21.2,340,969,5084,5.2,284,109,905,29:14:00,2,2004,REG,offense
21,JAX,16,16.3,261,991,5009,5.1,279,109,940,31:39:00,6,2004,REG,offense
22,TB,16,18.8,301,949,4963,5.2,271,117,916,30:43:00,-9,2004,REG,offense
23,NYG,16,18.9,303,951,4722,5.0,281,118,977,29:52:00,4,2004,REG,offense
24,DET,16,18.5,296,949,4693,4.9,263,121,1000,28:13:00,4,2004,REG,offense
25,BUF,16,24.7,395,982,4691,4.8,271,121,1047,30:21:00,10,2004,REG,offense
26,SF,16,16.2,259,1026,4585,4.5,280,103,859,29:18:00,-19,2004,REG,offense
27,ARI,16,17.8,284,1047,4550,4.3,280,124,948,31:12:00,1,2004,REG,offense
28,CLE,16,17.2,276,921,4481,4.9,245,115,854,28:21:00,-12,2004,REG,offense
29,MIA,16,17.2,275,1022,4404,4.3,267,113,857,28:20:00,-17,2004,REG,offense
30,WAS,16,15.0,240,1023,4397,4.3,269,115,1047,31:19:00,-1,2004,REG,offense
31,BAL,16,19.8,317,991,4375,4.4,260,94,894,30:50:00,11,2004,REG,offense
32,CHI,16,14.4,231,967,3816,3.9,230,124,956,28:26:00,-8,2004,REG,offense
1,PHI,3,25.0,75,193,1090,5.6,69,13,114,30:44:00,-1,2004,POST,offense
2,NE,3,28.3,85,187,978,5.2,60,13,87,33:36:00,10,2004,POST,offense
3,IND,2,26.0,52,116,806,6.9,45,8,70,26:48:00,-3,2004,POST,offense
4,MIN,2,22.5,45,130,769,5.9,39,14,164,31:06:00,3,2004,POST,offense
5,PIT,2,23.5,47,136,752,5.5,42,8,65,36:36:00,-6,2004,POST,offense
6,LAR,2,22.0,44,121,735,6.1,41,8,56,28:46:00,-1,2004,POST,offense
7,NYJ,2,18.5,37,126,671,5.3,37,12,84,34:30:00,3,2004,POST,offense
8,ATL,2,28.5,57,112,599,5.3,32,9,56,31:10:00,0,2004,POST,offense
9,SEA,1,20.0,20,66,413,6.3,24,9,61,28:54:00,0,2004,POST,offense
10,LAC,1,17.0,17,77,408,5.3,24,9,75,39:16:00,-1,2004,POST,offense
11,DEN,1,24.0,24,58,338,5.8,18,5,24,30:42:00,0,2004,POST,offense
12,GB,1,17.0,17,64,306,4.8,24,8,55,30:12:00,-4,2004,POST,offense
1,KC,16,25.2,403,1059,6192,5.8,347,115,890,32:09:00,8,2005,REG,offense
2,SEA,16,28.2,452,1020,5915,5.8,361,94,846,30:50:00,10,2005,REG,offense
3,IND,16,27.4,439,1000,5799,5.8,363,94,690,30:22:00,12,2005,REG,offense
4,NYG,16,26.4,422,1055,5787,5.5,312,143,1115,31:18:00,12,2005,REG,offense
5,DEN,16,24.7,395,1030,5766,5.6,330,97,756,33:40:00,20,2005,REG,offense
6,CIN,16,26.3,421,1018,5730,5.6,342,110,920,31:52:00,24,2005,REG,offense
7,NE,16,23.7,379,1031,5632,5.5,334,110,921,30:19:00,-6,2005,REG,offense
8,ARI,16,19.4,311,1075,5575,5.2,304,145,1184,31:20:00,-11,2005,REG,offense
9,LAR,16,22.7,363,1025,5571,5.4,314,131,941,30:26:00,-10,2005,REG,offense
10,LAC,16,26.1,418,1022,5567,5.4,337,110,890,32:35:00,-8,2005,REG,offense
11,WAS,16,22.4,359,1037,5289,5.1,301,108,925,32:45:00,1,2005,REG,offense
12,ATL,16,21.9,351,1021,5225,5.1,313,114,1043,30:25:00,0,2005,REG,offense
13,DAL,16,20.3,325,1071,5202,4.9,318,99,739,33:34:00,-5,2005,REG,offense
14,MIA,16,19.9,318,1026,5198,5.1,274,132,1055,27:25:00,1,2005,REG,offense
15,JAX,16,22.6,361,1021,5149,5.0,301,121,1006,32:52:00,11,2005,REG,offense
16,PIT,16,24.3,389,960,5149,5.4,297,99,876,32:44:00,7,2005,REG,offense
17,TEN,16,18.7,299,1022,5122,5.0,279,125,1002,31:13:00,-6,2005,REG,offense
18,GB,16,18.6,298,1051,5118,4.9,318,119,918,31:58:00,-24,2005,REG,offense
19,PHI,16,19.4,310,1027,5109,5.0,283,135,1141,29:41:00,-7,2005,REG,offense
20,NO,16,14.7,235,1017,5031,4.9,312,135,1130,31:32:00,-24,2005,REG,offense
21,LVR,16,18.1,290,997,4951,5.0,294,147,1132,28:07:00,-4,2005,REG,offense
22,CAR,16,24.4,391,964,4950,5.1,278,91,732,31:48:00,16,2005,REG,offense
23,TB,16,18.8,300,985,4716,4.8,268,131,1085,31:13:00,7,2005,REG,offense
24,BAL,16,16.6,265,1056,4693,4.4,286,139,1067,31:42:00,-10,2005,REG,offense
25,MIN,16,19.1,306,945,4613,4.9,285,128,1014,29:46:00,5,2005,REG,offense
26,CLE,16,14.5,232,938,4550,4.9,241,99,770,28:00:00,-7,2005,REG,offense
27,DET,16,15.9,254,955,4319,4.5,258,115,838,30:34:00,1,2005,REG,offense
28,BUF,16,16.9,271,930,4122,4.4,259,120,897,29:04:00,4,2005,REG,offense
29,CHI,16,16.2,260,937,4101,4.4,233,105,850,29:52:00,6,2005,REG,offense
30,HOU,16,16.2,260,954,4053,4.2,243,106,854,29:41:00,-8,2005,REG,offense
31,NYJ,16,15.0,240,907,3970,4.4,251,98,801,27:47:00,-6,2005,REG,offense
32,SF,16,14.9,239,865,3587,4.1,191,106,780,28:37:00,-9,2005,REG,offense
1,PIT,4,26.8,107,244,1338,5.5,74,19,128,32:44:00,3,2005,POST,offense
2,SEA,3,21.3,64,217,1123,5.2,62,16,143,34:13:00,3,2005,POST,offense
3,CAR,3,22.0,66,185,981,5.3,55,21,159,31:26:00,1,2005,POST,offense
4,NE,2,20.5,41,116,727,6.3,32,12,114,29:19:00,-2,2005,POST,offense
5,DEN,2,22.0,44,114,594,5.2,32,8,44,28:50:00,0,2005,POST,offense
6,WAS,2,13.5,27,114,409,3.6,20,11,80,29:53:00,4,2005,POST,offense
7,CIN,1,17.0,17,65,327,5.0,19,7,90,31:03:00,-2,2005,POST,offense
8,IND,1,18.0,18,57,305,5.4,15,9,67,25:08:00,2,2005,POST,offense
9,JAX,1,3.0,3,62,292,4.7,15,8,40,29:34:00,-2,2005,POST,offense
10,CHI,1,21.0,21,69,282,4.1,23,4,19,26:35:00,0,2005,POST,offense
11,TB,1,10.0,10,66,243,3.7,17,3,30,34:29:00,-2,2005,POST,offense
12,NYG,1,0.0,0,35,132,3.8,9,2,15,17:15,-5,2005,POST,offense
1,NO,16,25.8,413,1075,6264,5.8,330,79,597,32:53:00,-4,2006,REG,offense
2,PHI,16,24.9,398,988,6103,6.2,312,112,983,29:59:00,5,2006,REG,offense
3,IND,16,26.7,427,1011,6070,6.0,376,86,718,30:32:00,7,2006,REG,offense
4,LAC,16,30.8,492,1016,5840,5.7,321,90,791,32:39:00,13,2006,REG,offense
5,DAL,16,26.6,425,1015,5772,5.7,336,100,939,31:02:00,1,2006,REG,offense
6,LAR,16,22.9,367,1065,5767,5.4,332,116,960,31:20:00,14,2006,REG,offense
7,PIT,16,22.1,353,1041,5725,5.5,327,69,611,31:29:00,-8,2006,REG,offense
8,CIN,16,23.3,373,994,5462,5.5,313,92,717,29:36:00,7,2006,REG,offense
9,GB,16,18.8,301,1085,5458,5.0,301,90,689,31:45:00,0,2006,REG,offense
10,JAX,16,23.2,371,989,5423,5.5,293,97,810,32:14:00,1,2006,REG,offense
11,NE,16,24.1,385,1055,5369,5.1,330,98,940,32:35:00,8,2006,REG,offense
12,ATL,16,18.2,292,1000,5310,5.3,287,96,877,30:01:00,6,2006,REG,offense
13,WAS,16,19.2,307,979,5243,5.4,295,106,939,30:15:00,-5,2006,REG,offense
14,NYG,16,22.2,355,1003,5214,5.2,304,101,881,30:57:00,0,2006,REG,offense
15,CHI,16,26.7,427,1042,5199,5.0,300,112,923,31:56:00,8,2006,REG,offense
16,KC,16,20.7,331,1004,5143,5.1,310,76,577,30:30:00,4,2006,REG,offense
17,BAL,16,22.1,353,1017,5072,5.0,282,109,878,33:48:00,17,2006,REG,offense
18,ARI,16,19.6,314,999,5000,5.0,298,117,937,30:59:00,3,2006,REG,offense
19,SEA,16,20.9,335,1045,4977,4.8,312,94,700,30:48:00,-8,2006,REG,offense
20,MIA,16,16.2,260,1034,4960,4.8,281,90,791,30:01:00,2,2006,REG,offense
21,DEN,16,19.9,319,973,4951,5.1,285,67,478,30:24:00,0,2006,REG,offense
22,DET,16,19.1,305,963,4949,5.1,291,116,939,28:41:00,-9,2006,REG,offense
23,MIN,16,17.6,282,1025,4943,4.8,272,123,903,32:52:00,4,2006,REG,offense
24,CAR,16,16.9,270,994,4923,5.0,278,103,744,30:27:00,-5,2006,REG,offense
25,NYJ,16,19.8,316,1013,4891,4.8,289,70,560,31:03:00,0,2006,REG,offense
26,SF,16,18.6,298,918,4860,5.3,243,93,818,29:00:00,-5,2006,REG,offense
27,TEN,16,20.2,324,945,4810,5.1,261,94,803,27:23:00,2,2006,REG,offense
28,HOU,16,16.7,267,955,4465,4.7,282,90,761,29:21:00,-3,2006,REG,offense
29,TB,16,13.2,211,972,4321,4.4,237,87,732,28:26:00,-12,2006,REG,offense
30,BUF,16,18.8,300,898,4271,4.8,234,88,629,28:04:00,-5,2006,REG,offense
31,CLE,16,14.9,238,938,4233,4.5,250,74,687,30:35:00,-15,2006,REG,offense
32,LVR,16,10.5,168,949,3939,4.2,243,111,847,28:13:00,-23,2006,REG,offense
1,IND,4,26.2,105,307,1581,5.1,99,16,131,35:02:00,4,2006,POST,offense
2,NE,3,31.7,95,206,1004,4.9,61,19,167,30:24:00,2,2006,POST,offense
3,CHI,3,27.7,83,195,976,5.0,50,10,80,31:55:00,1,2006,POST,offense
4,NO,2,20.5,41,136,810,6.0,42,10,82,30:04:00,-5,2006,POST,offense
5,PHI,2,23.5,47,115,678,5.9,33,12,116,28:30:00,2,2006,POST,offense
6,SEA,2,22.5,45,135,638,4.7,37,7,31,31:31:00,0,2006,POST,offense
7,LAC,1,21.0,21,68,352,5.2,21,6,64,30:54:00,-1,2006,POST,offense
8,NYJ,1,16.0,16,60,347,5.8,18,4,47,26:40:00,-1,2006,POST,offense
9,NYG,1,20.0,20,59,305,5.2,17,9,55,29:36:00,-1,2006,POST,offense
10,DAL,1,20.0,20,57,284,5.0,14,8,74,28:23:00,1,2006,POST,offense
11,BAL,1,6.0,6,51,244,4.8,13,6,39,28:36:00,-2,2006,POST,offense
12,KC,1,8.0,8,45,126,2.8,7,2,13,20:37,0,2006,POST,offense
1,NE,16,36.8,589,1058,6580,6.2,393,78,690,33:35:00,16,2007,REG,offense
2,GB,16,27.2,435,985,5931,6.0,307,113,1006,30:19:00,4,2007,REG,offense
3,DAL,16,28.4,455,975,5851,6.0,322,104,815,31:34:00,5,2007,REG,offense
4,NO,16,23.7,379,1060,5780,5.5,346,68,581,31:09:00,-7,2007,REG,offense
5,IND,16,28.1,450,1020,5739,5.6,357,67,515,30:49:00,18,2007,REG,offense
6,PHI,16,21.0,336,1047,5729,5.5,323,83,649,31:56:00,-8,2007,REG,offense
7,JAX,16,25.7,411,1022,5719,5.6,328,76,594,32:08:00,9,2007,REG,offense
8,CLE,16,25.1,402,1004,5621,5.6,315,114,868,30:31:00,-2,2007,REG,offense
9,SEA,16,24.6,393,1056,5583,5.3,323,59,428,30:59:00,10,2007,REG,offense
10,CIN,16,23.8,380,1008,5568,5.5,320,90,670,29:24:00,5,2007,REG,offense
11,DEN,16,20.0,320,976,5541,5.7,305,90,610,30:35:00,1,2007,REG,offense
12,ARI,16,25.2,404,1016,5505,5.4,308,137,1128,31:39:00,-7,2007,REG,offense
13,MIN,16,22.8,365,964,5379,5.6,294,86,662,30:35:00,1,2007,REG,offense
14,HOU,16,23.7,379,968,5337,5.5,295,82,636,30:41:00,-13,2007,REG,offense
15,WAS,16,20.9,334,1052,5334,5.1,307,90,751,31:11:00,-5,2007,REG,offense
16,NYG,16,23.3,373,1041,5302,5.1,321,77,652,31:22:00,-9,2007,REG,offense
17,PIT,16,24.6,393,1000,5239,5.2,298,80,651,33:29:00,3,2007,REG,offense
18,TB,16,20.9,334,975,5229,5.4,281,81,614,30:27:00,15,2007,REG,offense
